cl,lgbm_cost_mean,rf_cost_mean,paired_diff_mean,improve_pct_mean,ci_lo,ci_hi
2,208.00,208.00,0.00,0.000,0.000,0.000
3,311.72,311.47,0.25,0.078,-0.049,0.205
4,414.19,414.54,-0.35,-0.093,-0.415,0.229
5,514.03,513.94,0.09,-0.007,-0.591,0.577
6,607.36,601.89,5.47,0.858,0.068,1.649
7,689.82,682.22,7.60,1.047,0.009,2.084
8,765.55,753.07,12.48,1.564,0.383,2.745
9,832.11,812.42,19.69,2.287,1.036,3.538
10,886.11,861.66,24.45,2.610,1.094,4.125
11,946.81,909.13,37.68,3.872,2.540,5.204
12,999.92,953.35,46.58,4.577,3.292,5.861
13,1046.01,992.27,53.75,5.084,3.808,6.361
14,1092.12,1030.44,61.68,5.576,4.221,6.932
15,1134.87,1068.10,66.78,5.779,4.359,7.199
16,1175.43,1103.59,71.84,5.974,4.476,7.472
17,1214.68,1133.93,80.75,6.557,5.238,7.877
18,1249.33,1166.40,82.93,6.516,4.994,8.039
19,1288.74,1196.59,92.16,7.034,5.507,8.561
20,1318.12,1230.96,87.16,6.506,5.041,7.972
21,1352.29,1259.19,93.10,6.786,5.305,8.267
22,1382.69,1290.84,91.85,6.514,4.919,8.109
23,1409.62,1312.88,96.74,6.740,5.350,8.131
24,1435.67,1338.63,97.04,6.630,5.142,8.118
25,1460.92,1364.06,96.86,6.504,4.998,8.011
26,1483.95,1386.29,97.66,6.465,4.976,7.954
27,1500.97,1411.13,89.84,5.836,4.233,7.440
28,1522.33,1435.72,86.62,5.545,3.900,7.191
29,1545.46,1457.33,88.14,5.554,3.858,7.250
30,1561.10,1480.05,81.05,5.057,3.431,6.683
31,1579.52,1499.16,80.36,4.922,3.229,6.614
32,1594.22,1522.80,71.42,4.313,2.552,6.074
33,1610.05,1545.00,65.05,3.871,2.094,5.648
34,1625.91,1562.98,62.93,3.716,1.998,5.434
35,1640.28,1578.58,61.70,3.623,1.989,5.256
36,1652.54,1593.98,58.56,3.407,1.796,5.019
37,1667.14,1607.09,60.05,3.461,1.804,5.118
38,1675.74,1624.27,51.47,2.947,1.386,4.508
39,1683.62,1643.51,40.11,2.275,0.772,3.779
40,1688.68,1658.32,30.36,1.696,0.211,3.182
41,1699.94,1669.21,30.73,1.723,0.314,3.133
42,1710.49,1680.72,29.77,1.661,0.279,3.042
43,1721.09,1689.49,31.60,1.745,0.297,3.194
44,1728.45,1705.02,23.43,1.272,-0.104,2.648
45,1739.27,1710.80,28.47,1.555,0.190,2.920
46,1745.41,1724.46,20.94,1.115,-0.193,2.423
47,1752.48,1733.86,18.62,0.988,-0.304,2.281
48,1758.02,1740.22,17.80,0.900,-0.569,2.369
49,1768.26,1750.11,18.15,0.915,-0.513,2.343
50,1773.11,1754.12,18.99,0.970,-0.472,2.412
51,1776.63,1762.94,13.70,0.643,-0.872,2.158
52,1781.85,1771.10,10.75,0.458,-1.097,2.014
53,1787.51,1778.60,8.91,0.366,-1.101,1.833
54,1797.26,1786.09,11.17,0.491,-0.974,1.957
55,1800.60,1791.48,9.11,0.359,-1.189,1.906
56,1808.93,1799.80,9.13,0.367,-1.134,1.868
57,1816.12,1810.71,5.40,0.142,-1.435,1.720
58,1822.34,1818.85,3.49,0.036,-1.520,1.593
59,1829.07,1828.65,0.42,-0.129,-1.635,1.377
60,1835.16,1834.94,0.22,-0.138,-1.638,1.362
61,1841.46,1843.41,-1.95,-0.254,-1.741,1.232
62,1848.96,1849.97,-1.01,-0.201,-1.680,1.277
63,1854.90,1857.52,-2.61,-0.285,-1.728,1.157
64,1862.82,1865.96,-3.14,-0.304,-1.700,1.093
