seed,lgbm_foldmean_auc,rf_foldmean_auc,dA,lgbm_pooled,rf_pooled
0,0.727226,0.746138,0.018912,0.725925,0.744137
1,0.718046,0.756949,0.038903,0.718117,0.756428
2,0.724648,0.747769,0.023121,0.723283,0.747338
3,0.693701,0.721749,0.028048,0.695870,0.723224
4,0.748095,0.777937,0.029842,0.743868,0.775613
5,0.734992,0.761594,0.026601,0.731006,0.756428
6,0.718956,0.759324,0.040367,0.718781,0.758807
7,0.737947,0.758928,0.020980,0.737611,0.755225
8,0.735983,0.751286,0.015302,0.737315,0.750230
9,0.739143,0.758863,0.019720,0.738912,0.758781
10,0.744457,0.770647,0.026189,0.744065,0.770289
11,0.713494,0.737160,0.023666,0.713576,0.732130
12,0.720103,0.745128,0.025025,0.717730,0.744216
13,0.718490,0.756608,0.038118,0.715883,0.755061
14,0.728403,0.757125,0.028721,0.726510,0.754390
15,0.730641,0.764969,0.034328,0.728870,0.763224
16,0.708368,0.729562,0.021194,0.708824,0.731446
17,0.735716,0.757344,0.021628,0.735541,0.756257
18,0.731655,0.767883,0.036228,0.729573,0.766812
19,0.738767,0.754427,0.015660,0.737637,0.753779
20,0.723582,0.775016,0.051435,0.722567,0.775028
21,0.746888,0.756240,0.009352,0.743848,0.750618
22,0.747196,0.760423,0.013228,0.748692,0.760700
23,0.723302,0.747573,0.024272,0.721180,0.744394
24,0.730132,0.769111,0.038979,0.729566,0.765531
25,0.732520,0.759790,0.027270,0.732997,0.759602
26,0.736974,0.756494,0.019520,0.737841,0.754449
27,0.728718,0.764712,0.035994,0.727043,0.763585
28,0.725730,0.766424,0.040695,0.726484,0.766405
29,0.737901,0.747409,0.009509,0.735219,0.745485
30,0.748205,0.760266,0.012061,0.746674,0.760884
31,0.744999,0.753918,0.008918,0.743408,0.751571
32,0.716667,0.746955,0.030289,0.711749,0.744006
33,0.704035,0.740302,0.036267,0.704539,0.736993
34,0.737264,0.752698,0.015434,0.736435,0.750684
35,0.721029,0.733723,0.012693,0.719241,0.734351
36,0.719046,0.755303,0.036257,0.720319,0.751255
37,0.727372,0.749972,0.022599,0.725347,0.751360
38,0.740471,0.747035,0.006564,0.737723,0.742369
39,0.740532,0.748519,0.007987,0.737618,0.747082
40,0.744075,0.781409,0.037334,0.743829,0.779917
41,0.735429,0.740611,0.005182,0.732471,0.738281
42,0.721030,0.739430,0.018399,0.720707,0.738262
43,0.722354,0.757850,0.035496,0.716790,0.754141
44,0.715251,0.740860,0.025610,0.715436,0.738137
45,0.728519,0.746079,0.017560,0.727969,0.743763
46,0.694385,0.725152,0.030767,0.694036,0.723434
47,0.744908,0.743772,-0.001136,0.745912,0.745886
48,0.710270,0.744292,0.034022,0.709540,0.743802
49,0.729209,0.727244,-0.001965,0.723921,0.720779
